epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.9762,2.2114,3.08224,2.22405,0.03208,0.46667,0.09799,0.0411,1.95654,2.95082,2.08103,0.0002,0.0002,0.0002
2,16.6738,1.5264,2.39832,1.52121,0.05786,0.84156,0.29346,0.12572,1.73252,2.49248,1.57551,0.000419584,0.000419584,0.000419584
3,22.2474,1.4518,1.90819,1.47436,0.57798,0.12814,0.22784,0.09342,2.24083,2.3922,2.04877,0.000638733,0.000638733,0.000638733
4,27.9835,1.44536,1.62823,1.50028,0.53325,0.21464,0.26484,0.11949,2.36973,2.24205,2.13183,0.000857446,0.000857446,0.000857446
5,33.6047,1.40605,1.49713,1.44548,0.50511,0.45455,0.4376,0.20815,1.87207,1.80785,1.80642,0.00107572,0.00107572,0.00107572
6,39.1931,1.35927,1.44087,1.40249,0.5627,0.44935,0.44626,0.21447,1.89587,1.76177,1.75928,0.00129356,0.00129356,0.00129356
7,44.677,1.34304,1.38904,1.39932,0.61476,0.50649,0.55633,0.29761,1.64475,1.62666,1.62388,0.00151097,0.00151097,0.00151097
8,50.4755,1.37329,1.35026,1.41372,0.6286,0.55392,0.59154,0.31953,1.53493,1.6921,1.52752,0.00172794,0.00172794,0.00172794
9,56.0706,1.32185,1.2915,1.37992,0.67626,0.58095,0.6323,0.35264,1.49091,1.56384,1.52199,0.00194448,0.00194448,0.00194448
10,61.6979,1.2996,1.24828,1.35509,0.6983,0.63124,0.65254,0.3453,1.56595,1.46142,1.63405,0.00198218,0.00198218,0.00198218
11,67.3036,1.33473,1.24877,1.3827,0.74451,0.66858,0.72403,0.42008,1.41576,1.35683,1.50798,0.0019802,0.0019802,0.0019802
12,72.8985,1.29597,1.24594,1.35778,0.74168,0.65195,0.72067,0.43233,1.37089,1.359,1.47806,0.00197822,0.00197822,0.00197822
